"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"";"Version1.0.0.";1;"";;;
2;"REF**";"Logo-Back-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
3;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
4;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
5;"G***";"Logo-Front-Soldered-6mm";1;"LOGO";;;
6;",,,,,,,,,";"buzzardLabel";10;"";;;
7;"U2";"tps613222a";1;"TPS613222A";;;
8;"U1";"SOIC-14";1;"ATTINY404-SSNR";;;
9;"R2,R1";"0603R";2;"10k";;;
10;"L1";"0806L";1;"DFE201612E-2R2M=P2";;;
11;"K5";"DSHP03TS-S";1;"DSHP03TS-S";;;
12;"K4,K2";"easyC-connector";2;"easyC-SMD";;;
13;"K3";"HEADER-UPDI";1;"HEADER-UPDI";;;
14;"K1";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
15;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
16;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
17;"C4";"0603C";1;"C1608X7S1A475K080AC";;;
18;"C3,C2";"0603C";2;"CL10A226MPCNUBE";;;
19;"C1";"0603C";1;"0.1uF";;;
